30-Jul-19 03:10:46 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-07-30-03-10-43', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
30-Jul-19 03:10:47 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
30-Jul-19 03:13:08 - TorcsAgent - INFO - Episode: 18, Total Reward: -50.603, Avg. Reward Last 100 Episodes: 273.551, Avg. Actor Loss: -22.409 Avg. Critic Loss: 2.379 Avg. Q-Values: 9.296, Time: 6.975, Training Steps: 23, Eps: 0.998
30-Jul-19 03:13:13 - TorcsAgent - INFO - Episode: 19, Total Reward: 98.473, Avg. Reward Last 100 Episodes: 256.491, Avg. Actor Loss: -22.604 Avg. Critic Loss: 2.394 Avg. Q-Values: 9.811, Time: 5.525, Training Steps: 21, Eps: 0.998
30-Jul-19 03:13:22 - TorcsAgent - INFO - Episode: 20, Total Reward: 193.680, Avg. Reward Last 100 Episodes: 248.590, Avg. Actor Loss: -21.431 Avg. Critic Loss: 2.532 Avg. Q-Values: 10.519, Time: 8.167, Training Steps: 34, Eps: 0.998
30-Jul-19 03:13:30 - TorcsAgent - INFO - Episode: 21, Total Reward: 139.718, Avg. Reward Last 100 Episodes: 245.975, Avg. Actor Loss: -25.544 Avg. Critic Loss: 1.886 Avg. Q-Values: 11.652, Time: 8.191, Training Steps: 29, Eps: 0.997
30-Jul-19 03:13:37 - TorcsAgent - INFO - Episode: 22, Total Reward: 378.430, Avg. Reward Last 100 Episodes: 241.145, Avg. Actor Loss: -21.910 Avg. Critic Loss: 2.291 Avg. Q-Values: 12.199, Time: 7.734, Training Steps: 32, Eps: 0.997
30-Jul-19 03:13:44 - TorcsAgent - INFO - Episode: 23, Total Reward: 165.390, Avg. Reward Last 100 Episodes: 247.114, Avg. Actor Loss: -20.641 Avg. Critic Loss: 1.907 Avg. Q-Values: 12.928, Time: 6.740, Training Steps: 27, Eps: 0.997
30-Jul-19 03:13:52 - TorcsAgent - INFO - Episode: 24, Total Reward: 409.756, Avg. Reward Last 100 Episodes: 243.709, Avg. Actor Loss: -22.989 Avg. Critic Loss: 1.694 Avg. Q-Values: 13.389, Time: 7.793, Training Steps: 27, Eps: 0.997
30-Jul-19 03:14:00 - TorcsAgent - INFO - Episode: 25, Total Reward: 228.016, Avg. Reward Last 100 Episodes: 250.351, Avg. Actor Loss: -23.283 Avg. Critic Loss: 1.477 Avg. Q-Values: 13.820, Time: 7.733, Training Steps: 32, Eps: 0.996
30-Jul-19 03:14:09 - TorcsAgent - INFO - Episode: 26, Total Reward: 464.438, Avg. Reward Last 100 Episodes: 249.492, Avg. Actor Loss: -25.823 Avg. Critic Loss: 1.307 Avg. Q-Values: 14.400, Time: 8.950, Training Steps: 38, Eps: 0.996
30-Jul-19 03:14:16 - TorcsAgent - INFO - Episode: 27, Total Reward: 245.965, Avg. Reward Last 100 Episodes: 257.453, Avg. Actor Loss: -28.227 Avg. Critic Loss: 1.267 Avg. Q-Values: 15.338, Time: 7.391, Training Steps: 25, Eps: 0.996
