29-Jul-19 03:38:04 - LanderActor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (8,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/LanderActor/2019-07-29-03-38-02', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (8,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (2,)}, 'strategy_params': {'epsilon_decay': 0.0025, 'action_dim': (2,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 1000}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'LanderActor', 'verbose': True, 'train_interval': 1, 'training_episodes': 2000, 'action_dim': (2,)}
29-Jul-19 03:38:04 - LanderActor - INFO - --- Start TwinDelayedDDPG training ---
29-Jul-19 03:38:31 - LanderActor - INFO - Episode: 18, Total Reward: -282.257, Avg. Reward Last 100 Episodes: -327.441, Avg. Actor Loss: 4.566 Avg. Critic Loss: 0.122 Avg. Q-Values: -6.189, Time: 2.504, Training Steps: 329, Eps: 1.000
29-Jul-19 03:38:34 - LanderActor - INFO - Episode: 19, Total Reward: -293.137, Avg. Reward Last 100 Episodes: -325.063, Avg. Actor Loss: 4.266 Avg. Critic Loss: 0.090 Avg. Q-Values: -6.068, Time: 2.867, Training Steps: 376, Eps: 1.000
29-Jul-19 03:38:37 - LanderActor - INFO - Episode: 20, Total Reward: -495.143, Avg. Reward Last 100 Episodes: -323.467, Avg. Actor Loss: 4.332 Avg. Critic Loss: 0.123 Avg. Q-Values: -6.024, Time: 3.118, Training Steps: 405, Eps: 1.000
29-Jul-19 03:38:42 - LanderActor - INFO - Episode: 21, Total Reward: -139.096, Avg. Reward Last 100 Episodes: -331.642, Avg. Actor Loss: 3.852 Avg. Critic Loss: 0.087 Avg. Q-Values: -5.751, Time: 4.420, Training Steps: 554, Eps: 1.000
29-Jul-19 03:38:43 - LanderActor - INFO - Episode: 22, Total Reward: -62.862, Avg. Reward Last 100 Episodes: -322.890, Avg. Actor Loss: 3.214 Avg. Critic Loss: 0.091 Avg. Q-Values: -5.004, Time: 1.483, Training Steps: 204, Eps: 1.000
29-Jul-19 03:38:47 - LanderActor - INFO - Episode: 23, Total Reward: -298.858, Avg. Reward Last 100 Episodes: -311.584, Avg. Actor Loss: 2.518 Avg. Critic Loss: 0.093 Avg. Q-Values: -4.779, Time: 3.294, Training Steps: 414, Eps: 1.000
29-Jul-19 03:38:47 - LanderActor - INFO - Episode: 24, Total Reward: -319.581, Avg. Reward Last 100 Episodes: -311.054, Avg. Actor Loss: 1.740 Avg. Critic Loss: 0.105 Avg. Q-Values: -4.603, Time: 0.707, Training Steps: 97, Eps: 1.000
29-Jul-19 03:38:49 - LanderActor - INFO - Episode: 25, Total Reward: -103.940, Avg. Reward Last 100 Episodes: -311.395, Avg. Actor Loss: 1.694 Avg. Critic Loss: 0.087 Avg. Q-Values: -3.957, Time: 1.402, Training Steps: 193, Eps: 1.000
29-Jul-19 03:38:49 - LanderActor - INFO - Episode: 26, Total Reward: -415.049, Avg. Reward Last 100 Episodes: -303.416, Avg. Actor Loss: 2.288 Avg. Critic Loss: 0.091 Avg. Q-Values: -4.166, Time: 0.602, Training Steps: 85, Eps: 1.000
29-Jul-19 03:38:52 - LanderActor - INFO - Episode: 27, Total Reward: -120.330, Avg. Reward Last 100 Episodes: -307.550, Avg. Actor Loss: 2.189 Avg. Critic Loss: 0.074 Avg. Q-Values: -3.999, Time: 2.321, Training Steps: 303, Eps: 1.000
29-Jul-19 03:38:53 - LanderActor - INFO - Episode: 28, Total Reward: -129.964, Avg. Reward Last 100 Episodes: -300.864, Avg. Actor Loss: 1.616 Avg. Critic Loss: 0.089 Avg. Q-Values: -3.445, Time: 1.660, Training Steps: 227, Eps: 1.000
29-Jul-19 03:38:56 - LanderActor - INFO - Episode: 29, Total Reward: -189.798, Avg. Reward Last 100 Episodes: -294.971, Avg. Actor Loss: 1.790 Avg. Critic Loss: 0.094 Avg. Q-Values: -3.440, Time: 2.530, Training Steps: 337, Eps: 1.000
29-Jul-19 03:38:58 - LanderActor - INFO - Episode: 30, Total Reward: -190.397, Avg. Reward Last 100 Episodes: -291.465, Avg. Actor Loss: 1.168 Avg. Critic Loss: 0.104 Avg. Q-Values: -2.943, Time: 2.019, Training Steps: 263, Eps: 1.000
29-Jul-19 03:39:01 - LanderActor - INFO - Episode: 31, Total Reward: -518.719, Avg. Reward Last 100 Episodes: -288.205, Avg. Actor Loss: 1.470 Avg. Critic Loss: 0.106 Avg. Q-Values: -3.011, Time: 3.032, Training Steps: 394, Eps: 1.000
29-Jul-19 03:39:05 - LanderActor - INFO - Episode: 32, Total Reward: -268.002, Avg. Reward Last 100 Episodes: -295.408, Avg. Actor Loss: 1.429 Avg. Critic Loss: 0.095 Avg. Q-Values: -3.070, Time: 3.605, Training Steps: 448, Eps: 1.000
29-Jul-19 03:39:07 - LanderActor - INFO - Episode: 33, Total Reward: -123.903, Avg. Reward Last 100 Episodes: -294.578, Avg. Actor Loss: 1.095 Avg. Critic Loss: 0.097 Avg. Q-Values: -2.701, Time: 2.611, Training Steps: 337, Eps: 1.000
29-Jul-19 03:39:11 - LanderActor - INFO - Episode: 34, Total Reward: -233.881, Avg. Reward Last 100 Episodes: -289.558, Avg. Actor Loss: 0.688 Avg. Critic Loss: 0.098 Avg. Q-Values: -2.521, Time: 3.401, Training Steps: 438, Eps: 1.000
29-Jul-19 03:39:13 - LanderActor - INFO - Episode: 35, Total Reward: -144.875, Avg. Reward Last 100 Episodes: -287.967, Avg. Actor Loss: 0.688 Avg. Critic Loss: 0.099 Avg. Q-Values: -2.304, Time: 2.433, Training Steps: 322, Eps: 1.000
29-Jul-19 03:39:15 - LanderActor - INFO - Episode: 36, Total Reward: -90.816, Avg. Reward Last 100 Episodes: -283.992, Avg. Actor Loss: 0.194 Avg. Critic Loss: 0.092 Avg. Q-Values: -2.212, Time: 1.937, Training Steps: 255, Eps: 1.000
29-Jul-19 03:39:17 - LanderActor - INFO - Episode: 37, Total Reward: -130.710, Avg. Reward Last 100 Episodes: -278.771, Avg. Actor Loss: 0.582 Avg. Critic Loss: 0.108 Avg. Q-Values: -2.076, Time: 2.106, Training Steps: 276, Eps: 1.000
29-Jul-19 03:39:20 - LanderActor - INFO - Episode: 38, Total Reward: -91.728, Avg. Reward Last 100 Episodes: -274.875, Avg. Actor Loss: 0.166 Avg. Critic Loss: 0.083 Avg. Q-Values: -1.860, Time: 3.006, Training Steps: 378, Eps: 1.000
29-Jul-19 03:39:22 - LanderActor - INFO - Episode: 39, Total Reward: -42.819, Avg. Reward Last 100 Episodes: -270.179, Avg. Actor Loss: -0.347 Avg. Critic Loss: 0.097 Avg. Q-Values: -1.497, Time: 2.083, Training Steps: 272, Eps: 1.000
29-Jul-19 03:39:25 - LanderActor - INFO - Episode: 40, Total Reward: -0.603, Avg. Reward Last 100 Episodes: -264.495, Avg. Actor Loss: -0.537 Avg. Critic Loss: 0.072 Avg. Q-Values: -1.300, Time: 3.237, Training Steps: 404, Eps: 1.000
29-Jul-19 03:39:36 - LanderActor - INFO - Episode: 41, Total Reward: -17.530, Avg. Reward Last 100 Episodes: -258.059, Avg. Actor Loss: -1.206 Avg. Critic Loss: 0.085 Avg. Q-Values: -0.887, Time: 10.231, Training Steps: 1000, Eps: 1.000
29-Jul-19 03:39:39 - LanderActor - INFO - Episode: 42, Total Reward: -177.831, Avg. Reward Last 100 Episodes: -252.332, Avg. Actor Loss: -1.507 Avg. Critic Loss: 0.080 Avg. Q-Values: -0.596, Time: 3.109, Training Steps: 395, Eps: 1.000
29-Jul-19 03:39:46 - LanderActor - INFO - Episode: 43, Total Reward: -74.462, Avg. Reward Last 100 Episodes: -250.599, Avg. Actor Loss: -1.428 Avg. Critic Loss: 0.067 Avg. Q-Values: -0.481, Time: 7.273, Training Steps: 813, Eps: 1.000
29-Jul-19 03:39:55 - LanderActor - INFO - Episode: 44, Total Reward: -114.289, Avg. Reward Last 100 Episodes: -246.596, Avg. Actor Loss: -2.042 Avg. Critic Loss: 0.070 Avg. Q-Values: 0.089, Time: 8.774, Training Steps: 1000, Eps: 1.000
29-Jul-19 03:40:04 - LanderActor - INFO - Episode: 45, Total Reward: -91.988, Avg. Reward Last 100 Episodes: -243.656, Avg. Actor Loss: -2.502 Avg. Critic Loss: 0.067 Avg. Q-Values: 0.659, Time: 9.173, Training Steps: 1000, Eps: 1.000
29-Jul-19 03:40:08 - LanderActor - INFO - Episode: 46, Total Reward: -289.867, Avg. Reward Last 100 Episodes: -240.359, Avg. Actor Loss: -2.601 Avg. Critic Loss: 0.061 Avg. Q-Values: 0.660, Time: 4.616, Training Steps: 554, Eps: 1.000
29-Jul-19 03:40:12 - LanderActor - INFO - Episode: 47, Total Reward: -137.104, Avg. Reward Last 100 Episodes: -241.412, Avg. Actor Loss: -3.067 Avg. Critic Loss: 0.072 Avg. Q-Values: 1.133, Time: 3.327, Training Steps: 437, Eps: 1.000
29-Jul-19 03:40:17 - LanderActor - INFO - Episode: 48, Total Reward: -185.999, Avg. Reward Last 100 Episodes: -239.239, Avg. Actor Loss: -3.040 Avg. Critic Loss: 0.062 Avg. Q-Values: 1.204, Time: 5.140, Training Steps: 631, Eps: 1.000
29-Jul-19 03:40:19 - LanderActor - INFO - Episode: 49, Total Reward: -51.672, Avg. Reward Last 100 Episodes: -238.153, Avg. Actor Loss: -2.483 Avg. Critic Loss: 0.071 Avg. Q-Values: 0.584, Time: 2.219, Training Steps: 297, Eps: 1.000
29-Jul-19 03:40:22 - LanderActor - INFO - Episode: 50, Total Reward: -156.619, Avg. Reward Last 100 Episodes: -234.423, Avg. Actor Loss: -2.251 Avg. Critic Loss: 0.069 Avg. Q-Values: 0.484, Time: 2.496, Training Steps: 334, Eps: 1.000
29-Jul-19 03:40:25 - LanderActor - INFO - Episode: 51, Total Reward: -67.502, Avg. Reward Last 100 Episodes: -232.897, Avg. Actor Loss: -2.041 Avg. Critic Loss: 0.057 Avg. Q-Values: 0.142, Time: 2.983, Training Steps: 389, Eps: 1.000
29-Jul-19 03:40:29 - LanderActor - INFO - Episode: 52, Total Reward: -156.874, Avg. Reward Last 100 Episodes: -229.717, Avg. Actor Loss: -1.808 Avg. Critic Loss: 0.059 Avg. Q-Values: -0.005, Time: 4.430, Training Steps: 569, Eps: 1.000
29-Jul-19 03:40:36 - LanderActor - INFO - Episode: 53, Total Reward: -225.635, Avg. Reward Last 100 Episodes: -228.342, Avg. Actor Loss: -1.293 Avg. Critic Loss: 0.058 Avg. Q-Values: -0.492, Time: 6.480, Training Steps: 791, Eps: 1.000
29-Jul-19 03:40:37 - LanderActor - INFO - Episode: 54, Total Reward: -114.704, Avg. Reward Last 100 Episodes: -228.292, Avg. Actor Loss: -1.482 Avg. Critic Loss: 0.064 Avg. Q-Values: -0.500, Time: 1.500, Training Steps: 200, Eps: 1.000
29-Jul-19 03:40:39 - LanderActor - INFO - Episode: 55, Total Reward: -124.027, Avg. Reward Last 100 Episodes: -226.227, Avg. Actor Loss: -1.220 Avg. Critic Loss: 0.051 Avg. Q-Values: -0.689, Time: 1.992, Training Steps: 259, Eps: 1.000
29-Jul-19 03:40:40 - LanderActor - INFO - Episode: 56, Total Reward: -65.909, Avg. Reward Last 100 Episodes: -224.402, Avg. Actor Loss: -0.514 Avg. Critic Loss: 0.048 Avg. Q-Values: -1.061, Time: 1.307, Training Steps: 177, Eps: 1.000
29-Jul-19 03:40:44 - LanderActor - INFO - Episode: 57, Total Reward: -119.598, Avg. Reward Last 100 Episodes: -221.621, Avg. Actor Loss: -0.694 Avg. Critic Loss: 0.053 Avg. Q-Values: -1.000, Time: 3.731, Training Steps: 480, Eps: 1.000
29-Jul-19 03:40:48 - LanderActor - INFO - Episode: 58, Total Reward: -164.841, Avg. Reward Last 100 Episodes: -219.862, Avg. Actor Loss: -0.801 Avg. Critic Loss: 0.057 Avg. Q-Values: -0.820, Time: 4.195, Training Steps: 509, Eps: 1.000
29-Jul-19 03:40:50 - LanderActor - INFO - Episode: 59, Total Reward: -80.551, Avg. Reward Last 100 Episodes: -218.930, Avg. Actor Loss: -1.114 Avg. Critic Loss: 0.056 Avg. Q-Values: -0.908, Time: 2.179, Training Steps: 289, Eps: 1.000
29-Jul-19 03:40:52 - LanderActor - INFO - Episode: 60, Total Reward: -61.329, Avg. Reward Last 100 Episodes: -216.623, Avg. Actor Loss: -1.263 Avg. Critic Loss: 0.050 Avg. Q-Values: -0.733, Time: 1.964, Training Steps: 262, Eps: 1.000
