27-Jul-19 13:39:36 - PendulumActor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (3,), 'discount_factor': 0.9, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/PendulumActor/2019-07-27-13-39-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (3,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (1,)}, 'strategy_params': {'epsilon_decay': 0.005, 'action_dim': (1,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 500}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'PendulumActor', 'verbose': True, 'train_interval': 1, 'training_episodes': 1000, 'action_dim': (1,)}
27-Jul-19 13:39:36 - PendulumActor - INFO - --- Start TwinDelayedDDPG training ---
27-Jul-19 13:43:06 - PendulumActor - INFO - Episode: 18, Total Reward: -1248.030, Avg. Reward Last 100 Episodes: -1428.011, Avg. Actor Loss: 40.136 Avg. Critic Loss: 0.034 Avg. Q-Values: -37.019, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:43:17 - PendulumActor - INFO - Episode: 19, Total Reward: -1183.490, Avg. Reward Last 100 Episodes: -1418.538, Avg. Actor Loss: 41.548 Avg. Critic Loss: 0.035 Avg. Q-Values: -38.585, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:43:28 - PendulumActor - INFO - Episode: 20, Total Reward: -1284.651, Avg. Reward Last 100 Episodes: -1406.786, Avg. Actor Loss: 42.796 Avg. Critic Loss: 0.056 Avg. Q-Values: -40.177, Time: 11.021, Training Steps: 200, Eps: 1.000
27-Jul-19 13:43:39 - PendulumActor - INFO - Episode: 21, Total Reward: -1407.570, Avg. Reward Last 100 Episodes: -1400.970, Avg. Actor Loss: 44.152 Avg. Critic Loss: 0.048 Avg. Q-Values: -41.664, Time: 11.019, Training Steps: 200, Eps: 1.000
27-Jul-19 13:43:50 - PendulumActor - INFO - Episode: 22, Total Reward: -1765.333, Avg. Reward Last 100 Episodes: -1401.270, Avg. Actor Loss: 45.786 Avg. Critic Loss: 0.052 Avg. Q-Values: -43.572, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:44:01 - PendulumActor - INFO - Episode: 23, Total Reward: -1425.382, Avg. Reward Last 100 Episodes: -1417.099, Avg. Actor Loss: 47.419 Avg. Critic Loss: 0.069 Avg. Q-Values: -45.283, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:44:12 - PendulumActor - INFO - Episode: 24, Total Reward: -1629.794, Avg. Reward Last 100 Episodes: -1417.444, Avg. Actor Loss: 48.847 Avg. Critic Loss: 0.059 Avg. Q-Values: -46.756, Time: 11.016, Training Steps: 200, Eps: 1.000
27-Jul-19 13:44:23 - PendulumActor - INFO - Episode: 25, Total Reward: -1228.841, Avg. Reward Last 100 Episodes: -1425.938, Avg. Actor Loss: 50.058 Avg. Critic Loss: 0.067 Avg. Q-Values: -48.070, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:44:34 - PendulumActor - INFO - Episode: 26, Total Reward: -1301.671, Avg. Reward Last 100 Episodes: -1418.357, Avg. Actor Loss: 50.918 Avg. Critic Loss: 0.075 Avg. Q-Values: -49.254, Time: 11.020, Training Steps: 200, Eps: 1.000
27-Jul-19 13:44:45 - PendulumActor - INFO - Episode: 27, Total Reward: -1532.351, Avg. Reward Last 100 Episodes: -1414.035, Avg. Actor Loss: 52.281 Avg. Critic Loss: 0.071 Avg. Q-Values: -50.512, Time: 11.019, Training Steps: 200, Eps: 1.000
