21-Jul-19 03:08:31 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-07-21-03-08-27', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
21-Jul-19 03:10:32 - torcs_agent_torcsAgent_actor - INFO - Episode: 16, Total Reward: 296.987, Avg. Reward Last 100 Episodes: 274.692, Avg. Actor Loss: -0.516 Avg. Critic Loss: 210.613 Avg. Q-Values: 11.433, Time: 6.550, Training Steps: 26, Eps: 0.999
21-Jul-19 03:10:42 - torcs_agent_torcsAgent_actor - INFO - Episode: 17, Total Reward: 903.516, Avg. Reward Last 100 Episodes: 276.003, Avg. Actor Loss: -0.545 Avg. Critic Loss: 189.730 Avg. Q-Values: 11.002, Time: 9.967, Training Steps: 43, Eps: 0.998
21-Jul-19 03:10:51 - torcs_agent_torcsAgent_actor - INFO - Episode: 18, Total Reward: 563.713, Avg. Reward Last 100 Episodes: 310.865, Avg. Actor Loss: -0.681 Avg. Critic Loss: 146.647 Avg. Q-Values: 13.587, Time: 9.418, Training Steps: 35, Eps: 0.998
21-Jul-19 03:10:58 - torcs_agent_torcsAgent_actor - INFO - Episode: 19, Total Reward: 407.700, Avg. Reward Last 100 Episodes: 324.173, Avg. Actor Loss: -0.636 Avg. Critic Loss: 163.414 Avg. Q-Values: 9.450, Time: 6.950, Training Steps: 28, Eps: 0.998
21-Jul-19 03:11:05 - torcs_agent_torcsAgent_actor - INFO - Episode: 20, Total Reward: 225.852, Avg. Reward Last 100 Episodes: 328.349, Avg. Actor Loss: -0.713 Avg. Critic Loss: 151.472 Avg. Q-Values: 12.652, Time: 7.151, Training Steps: 29, Eps: 0.997
21-Jul-19 03:11:12 - torcs_agent_torcsAgent_actor - INFO - Episode: 21, Total Reward: -30.041, Avg. Reward Last 100 Episodes: 323.469, Avg. Actor Loss: -0.690 Avg. Critic Loss: 203.852 Avg. Q-Values: 11.584, Time: 6.982, Training Steps: 23, Eps: 0.997
21-Jul-19 03:11:21 - torcs_agent_torcsAgent_actor - INFO - Episode: 22, Total Reward: 639.078, Avg. Reward Last 100 Episodes: 307.400, Avg. Actor Loss: -0.690 Avg. Critic Loss: 139.453 Avg. Q-Values: 12.223, Time: 8.968, Training Steps: 38, Eps: 0.997
21-Jul-19 03:11:31 - torcs_agent_torcsAgent_actor - INFO - Episode: 23, Total Reward: 932.994, Avg. Reward Last 100 Episodes: 321.821, Avg. Actor Loss: -0.663 Avg. Critic Loss: 115.733 Avg. Q-Values: 13.738, Time: 9.567, Training Steps: 41, Eps: 0.997
21-Jul-19 03:11:38 - torcs_agent_torcsAgent_actor - INFO - Episode: 24, Total Reward: 396.988, Avg. Reward Last 100 Episodes: 347.286, Avg. Actor Loss: -0.607 Avg. Critic Loss: 145.591 Avg. Q-Values: 11.530, Time: 7.383, Training Steps: 25, Eps: 0.996
21-Jul-19 03:11:49 - torcs_agent_torcsAgent_actor - INFO - Episode: 25, Total Reward: 587.408, Avg. Reward Last 100 Episodes: 349.274, Avg. Actor Loss: -0.592 Avg. Critic Loss: 194.728 Avg. Q-Values: 12.004, Time: 10.366, Training Steps: 45, Eps: 0.996
