Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
11,static,"Car_0","(OSM id: 645787920)",22.71,0.04
11,static,"Car_1","(OSM id: 645787566)",22.21,0.12
11,static,"Car_0","(OSM id: 645787633)",23.31,0.05
11,static,"Car_1","(OSM id: 645787959)",23.91,0.16
11,static,"Car_0","(OSM id: 645787521)",28.71,0.05
11,static,"Car_0","(OSM id: 645787727)",29.31,0.03
12,vehicle,"Car_0","Car_1",7.21,0.24
12,vehicle,"Car_1","Car_0",7.21,0.24
13,static,"Car_0","(OSM id: 640719027)",23.51,0.09
13,static,"Car_0","(OSM id: 645791941)",26.01,0.08
13,static,"Car_0","(OSM id: 645791503)",28.11,0.05
14,static,"Car_2","(OSM id: 470347281)",10.11,0.18
14,static,"Car_2","(OSM id: 470347287)",13.81,0.26
14,static,"Car_3","Lennox(OSM id: 297312493)",18.01,0.54
14,static,"Car_3","Lennox(OSM id: 297312493)",25.31,0.07
14,static,"Car_3","(OSM id: 598179041)",25.81,0.05
15,static,"Car_1","(OSM id: 645788307)",12.51,0.13
15,static,"Car_1","(OSM id: 645788276)",14.11,0.1
15,static,"Car_0","(OSM id: 645788089)",22.21,0.05
15,static,"Car_0","(OSM id: 645766070)",26.41,0.09
15,static,"Car_0","(OSM id: 645765974)",28.61,0.02
16,vehicle,"Car_0","Car_2",7.81,0.09
16,vehicle,"Car_2","Car_0",7.81,0.09
16,static,"Car_1","La Madeleine(OSM id: 452514254)",22.91,0.11
16,static,"Car_0","Richardson Bike Mart(OSM id: 452512140)",21.81,0.29
16,static,"Car_0","(OSM id: 452512143)",24.41,0.15
16,static,"Car_1","(OSM id: 452514262)",25.41,0.17
16,static,"Car_2","Mi Cocina(OSM id: 452514253)",26.81,0.13
17,static,"Car_0","(OSM id: 645791728)",10.91,0.16
17,static,"Car_0","(OSM id: 645791201)",12.51,0.06
17,static,"Car_0","(OSM id: 640719000)",18.61,0.09
17,static,"Car_1","(OSM id: 645791128)",16.71,0.52
17,static,"Car_1","(OSM id: 645791794)",21.61,0.42
17,static,"Car_1","(OSM id: 645791562)",25.71,0.26
18,vehicle,"Car_0","Car_1",4.51,0.08
18,vehicle,"Car_1","Car_0",4.51,0.08
18,static,"Car_3","(OSM id: 1083692844)",10.11,0.07
18,static,"Car_0","(OSM id: 1083692845)",10.21,0.06
19,vehicle,"Car_0","Car_1",3.71,0.09
19,vehicle,"Car_1","Car_0",3.71,0.09
19,static,"Car_0","Panda Express(OSM id: 404994013)",10.31,0.1
19,static,"Car_2","(OSM id: 452514260)",26.91,0.11
20,static,"Car_0","(OSM id: 546843091)",9.31,0.11
20,static,"Car_0","Founders Building (FO)(OSM id: 598197630)",17.21,0.25
20,static,"Car_0","Student Union (SU)(OSM id: 470346956)",21.41,0.07
20,static,"Car_0","(OSM id: 544926295)",22.91,0.08
20,static,"Car_0","Student Union Food Court(OSM id: 470345845)",23.51,0.05
20,static,"Car_0","Engineering &amp; Computer Science North (ECSN)(OSM id: 470345844)",24.51,0.36
20,static,"Car_1","Administration (AD)(OSM id: 221316815)",23.81,0.49
21,static,"Car_3","(OSM id: 131170996)",9.61,0.17
21,static,"Car_0","(OSM id: 452514257)",13.11,0.15
21,static,"Car_1","(OSM id: 452514257)",15.31,0.07
