27-Jul-19 02:25:27 - WalkerAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (24,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.001, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/WalkerAgent/2019-07-27-02-25-26', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (24,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 64, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (4,)}, 'strategy_params': {'epsilon_decay': 0.0007, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 100, 'mu': [0, 0, 0, 0], 'min_epsilon': 0.05, 'theta': [0.15, 0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2, 0.2], 'method': 'ornstein_uhlenbeck', 'action_dim': (4,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'WalkerAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 2500, 'action_dim': (4,)}
27-Jul-19 02:25:27 - WalkerAgent - INFO - --- Start DDPG training ---
27-Jul-19 02:25:48 - WalkerAgent - INFO - Episode: 18, Total Reward: -131.790, Avg. Reward Last 100 Episodes: -113.316, Avg. Actor Loss: -0.011 Avg. Critic Loss: 16.784 Avg. Q-Values: -0.582, Time: 5.268, Training Steps: 587, Eps: 1.000
27-Jul-19 02:25:49 - WalkerAgent - INFO - Episode: 19, Total Reward: -129.972, Avg. Reward Last 100 Episodes: -114.288, Avg. Actor Loss: -0.014 Avg. Critic Loss: 12.080 Avg. Q-Values: -0.346, Time: 0.842, Training Steps: 95, Eps: 1.000
27-Jul-19 02:25:49 - WalkerAgent - INFO - Episode: 20, Total Reward: -120.036, Avg. Reward Last 100 Episodes: -115.073, Avg. Actor Loss: -0.015 Avg. Critic Loss: 18.739 Avg. Q-Values: -0.235, Time: 0.578, Training Steps: 65, Eps: 1.000
27-Jul-19 02:25:50 - WalkerAgent - INFO - Episode: 21, Total Reward: -101.046, Avg. Reward Last 100 Episodes: -115.309, Avg. Actor Loss: -0.014 Avg. Critic Loss: 19.799 Avg. Q-Values: -0.542, Time: 0.733, Training Steps: 85, Eps: 1.000
27-Jul-19 02:25:52 - WalkerAgent - INFO - Episode: 22, Total Reward: -127.913, Avg. Reward Last 100 Episodes: -114.661, Avg. Actor Loss: -0.013 Avg. Critic Loss: 12.821 Avg. Q-Values: -0.360, Time: 1.731, Training Steps: 184, Eps: 1.000
27-Jul-19 02:25:53 - WalkerAgent - INFO - Episode: 23, Total Reward: -95.728, Avg. Reward Last 100 Episodes: -115.237, Avg. Actor Loss: -0.011 Avg. Critic Loss: 16.811 Avg. Q-Values: -0.222, Time: 0.723, Training Steps: 80, Eps: 1.000
27-Jul-19 02:25:54 - WalkerAgent - INFO - Episode: 24, Total Reward: -131.904, Avg. Reward Last 100 Episodes: -114.424, Avg. Actor Loss: -0.008 Avg. Critic Loss: 14.243 Avg. Q-Values: -0.315, Time: 1.280, Training Steps: 142, Eps: 1.000
27-Jul-19 02:25:55 - WalkerAgent - INFO - Episode: 25, Total Reward: -100.880, Avg. Reward Last 100 Episodes: -115.123, Avg. Actor Loss: -0.006 Avg. Critic Loss: 19.587 Avg. Q-Values: -0.616, Time: 0.556, Training Steps: 59, Eps: 1.000
27-Jul-19 02:25:57 - WalkerAgent - INFO - Episode: 26, Total Reward: -132.724, Avg. Reward Last 100 Episodes: -114.575, Avg. Actor Loss: -0.009 Avg. Critic Loss: 15.404 Avg. Q-Values: -0.411, Time: 2.757, Training Steps: 309, Eps: 1.000
27-Jul-19 02:25:58 - WalkerAgent - INFO - Episode: 27, Total Reward: -117.404, Avg. Reward Last 100 Episodes: -115.248, Avg. Actor Loss: -0.009 Avg. Critic Loss: 15.423 Avg. Q-Values: -0.371, Time: 1.149, Training Steps: 128, Eps: 1.000
27-Jul-19 02:26:00 - WalkerAgent - INFO - Episode: 28, Total Reward: -116.163, Avg. Reward Last 100 Episodes: -115.325, Avg. Actor Loss: -0.008 Avg. Critic Loss: 12.979 Avg. Q-Values: -0.175, Time: 1.133, Training Steps: 126, Eps: 1.000
27-Jul-19 02:26:00 - WalkerAgent - INFO - Episode: 29, Total Reward: -123.585, Avg. Reward Last 100 Episodes: -115.353, Avg. Actor Loss: -0.009 Avg. Critic Loss: 10.615 Avg. Q-Values: -0.168, Time: 0.659, Training Steps: 69, Eps: 1.000
