02-Aug-19 22:32:28 - LanderQAgent - INFO - --- Start training ---
02-Aug-19 22:32:28 - LanderQAgent - INFO - Target network is updated after 0 steps
02-Aug-19 22:32:56 - LanderQAgent - INFO - Episode: 28, Total Reward: -386.027, Avg. Reward Last 100 Episodes: -181.995, Avg. Loss: 0.367, Time: 1.419, Training Steps: 122, Eps: 1.000
02-Aug-19 22:32:57 - LanderQAgent - INFO - Episode: 29, Total Reward: -274.981, Avg. Reward Last 100 Episodes: -189.030, Avg. Loss: 0.415, Time: 1.051, Training Steps: 91, Eps: 1.000
02-Aug-19 22:32:58 - LanderQAgent - INFO - Episode: 30, Total Reward: -368.516, Avg. Reward Last 100 Episodes: -191.895, Avg. Loss: 0.409, Time: 0.967, Training Steps: 85, Eps: 1.000
02-Aug-19 22:33:00 - LanderQAgent - INFO - Episode: 31, Total Reward: -377.224, Avg. Reward Last 100 Episodes: -197.593, Avg. Loss: 0.357, Time: 1.585, Training Steps: 132, Eps: 1.000
02-Aug-19 22:33:00 - LanderQAgent - INFO - Episode: 32, Total Reward: -10.398, Avg. Reward Last 100 Episodes: -203.206, Avg. Loss: 0.385, Time: 0.844, Training Steps: 73, Eps: 1.000
02-Aug-19 22:33:02 - LanderQAgent - INFO - Target network is updated after 3000 steps
02-Aug-19 22:33:02 - LanderQAgent - INFO - Episode: 33, Total Reward: -110.522, Avg. Reward Last 100 Episodes: -197.363, Avg. Loss: 0.381, Time: 1.189, Training Steps: 99, Eps: 1.000
02-Aug-19 22:33:03 - LanderQAgent - INFO - Episode: 34, Total Reward: -74.757, Avg. Reward Last 100 Episodes: -194.809, Avg. Loss: 0.421, Time: 1.247, Training Steps: 103, Eps: 1.000
02-Aug-19 22:33:04 - LanderQAgent - INFO - Episode: 35, Total Reward: -53.736, Avg. Reward Last 100 Episodes: -191.379, Avg. Loss: 0.480, Time: 0.721, Training Steps: 61, Eps: 1.000
02-Aug-19 22:33:05 - LanderQAgent - INFO - Episode: 36, Total Reward: -206.775, Avg. Reward Last 100 Episodes: -187.556, Avg. Loss: 0.381, Time: 1.041, Training Steps: 89, Eps: 1.000
02-Aug-19 22:33:06 - LanderQAgent - INFO - Episode: 37, Total Reward: -100.429, Avg. Reward Last 100 Episodes: -188.075, Avg. Loss: 0.353, Time: 0.996, Training Steps: 81, Eps: 1.000
02-Aug-19 22:33:07 - LanderQAgent - INFO - Episode: 38, Total Reward: -99.539, Avg. Reward Last 100 Episodes: -185.769, Avg. Loss: 0.380, Time: 1.268, Training Steps: 106, Eps: 1.000
02-Aug-19 22:33:08 - LanderQAgent - INFO - Episode: 39, Total Reward: -12.870, Avg. Reward Last 100 Episodes: -183.558, Avg. Loss: 0.335, Time: 1.323, Training Steps: 104, Eps: 1.000
02-Aug-19 22:33:09 - LanderQAgent - INFO - Episode: 40, Total Reward: -108.951, Avg. Reward Last 100 Episodes: -179.291, Avg. Loss: 0.391, Time: 0.729, Training Steps: 62, Eps: 1.000
02-Aug-19 22:33:10 - LanderQAgent - INFO - Episode: 41, Total Reward: -125.871, Avg. Reward Last 100 Episodes: -177.575, Avg. Loss: 0.369, Time: 0.891, Training Steps: 76, Eps: 1.000
02-Aug-19 22:33:11 - LanderQAgent - INFO - Episode: 42, Total Reward: -92.616, Avg. Reward Last 100 Episodes: -176.344, Avg. Loss: 0.337, Time: 0.800, Training Steps: 68, Eps: 1.000
02-Aug-19 22:33:12 - LanderQAgent - INFO - Episode: 43, Total Reward: -369.219, Avg. Reward Last 100 Episodes: -174.397, Avg. Loss: 0.376, Time: 1.307, Training Steps: 108, Eps: 1.000
02-Aug-19 22:33:13 - LanderQAgent - INFO - Episode: 44, Total Reward: -307.151, Avg. Reward Last 100 Episodes: -178.825, Avg. Loss: 0.317, Time: 1.418, Training Steps: 115, Eps: 1.000
02-Aug-19 22:33:14 - LanderQAgent - INFO - Target network is updated after 4000 steps
