26-Dec-22 15:50:18 - TurtlebotAgent - INFO - --- Start training ---
26-Dec-22 15:50:18 - TurtlebotAgent - INFO - Target network is updated after 0 steps
26-Dec-22 15:50:49 - TurtlebotAgent - INFO - Episode: 0, Total Reward: -1199.328, Avg. Reward Last 100 Episodes: -1199.328, Avg. Loss: 0.000, Time: 31.348, Training Steps: 0, Eps: 0.990
26-Dec-22 15:50:52 - TurtlebotAgent - INFO - Episode: 1, Total Reward: 263.124, Avg. Reward Last 100 Episodes: -1199.328, Avg. Loss: 0.000, Time: 3.494, Training Steps: 0, Eps: 0.990
26-Dec-22 15:51:22 - TurtlebotAgent - INFO - Episode: 2, Total Reward: 381.142, Avg. Reward Last 100 Episodes: -468.102, Avg. Loss: 0.000, Time: 29.844, Training Steps: 0, Eps: 0.990
26-Dec-22 15:51:49 - TurtlebotAgent - INFO - Episode: 3, Total Reward: -963.954, Avg. Reward Last 100 Episodes: -185.020, Avg. Loss: 0.000, Time: 26.552, Training Steps: 0, Eps: 0.990
26-Dec-22 15:52:06 - TurtlebotAgent - INFO - Episode: 4, Total Reward: -72.824, Avg. Reward Last 100 Episodes: -379.754, Avg. Loss: 0.000, Time: 17.121, Training Steps: 0, Eps: 0.990
26-Dec-22 15:52:23 - TurtlebotAgent - INFO - Episode: 5, Total Reward: -600.786, Avg. Reward Last 100 Episodes: -318.368, Avg. Loss: 0.000, Time: 16.672, Training Steps: 0, Eps: 0.989
26-Dec-22 15:52:43 - TurtlebotAgent - INFO - Episode: 6, Total Reward: -623.370, Avg. Reward Last 100 Episodes: -365.438, Avg. Loss: 0.000, Time: 19.846, Training Steps: 0, Eps: 0.989
26-Dec-22 15:53:17 - TurtlebotAgent - INFO - Episode: 7, Total Reward: -562.177, Avg. Reward Last 100 Episodes: -402.285, Avg. Loss: 0.000, Time: 34.944, Training Steps: 0, Eps: 0.989
26-Dec-22 15:54:05 - TurtlebotAgent - INFO - Episode: 8, Total Reward: -946.830, Avg. Reward Last 100 Episodes: -422.272, Avg. Loss: 0.000, Time: 47.685, Training Steps: 0, Eps: 0.989
26-Dec-22 15:54:25 - TurtlebotAgent - INFO - Episode: 9, Total Reward: -548.138, Avg. Reward Last 100 Episodes: -480.556, Avg. Loss: 0.000, Time: 19.882, Training Steps: 0, Eps: 0.989
26-Dec-22 15:54:48 - TurtlebotAgent - INFO - Episode: 10, Total Reward: -32.534, Avg. Reward Last 100 Episodes: -487.314, Avg. Loss: 0.000, Time: 23.473, Training Steps: 0, Eps: 0.989
