05-Aug-19 02:08:17 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-08-05-02-08-13', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
05-Aug-19 02:10:30 - torcs_agent_torcsAgent_actor - INFO - Episode: 16, Total Reward: 29.750, Avg. Reward Last 100 Episodes: 275.180, Avg. Actor Loss: -0.585 Avg. Critic Loss: 167.630 Avg. Q-Values: 7.988, Time: 6.733, Training Steps: 27, Eps: 0.998
05-Aug-19 02:10:37 - torcs_agent_torcsAgent_actor - INFO - Episode: 17, Total Reward: 303.012, Avg. Reward Last 100 Episodes: 260.743, Avg. Actor Loss: -0.721 Avg. Critic Loss: 191.579 Avg. Q-Values: 9.090, Time: 7.333, Training Steps: 30, Eps: 0.998
05-Aug-19 02:10:48 - torcs_agent_torcsAgent_actor - INFO - Episode: 18, Total Reward: 808.354, Avg. Reward Last 100 Episodes: 263.091, Avg. Actor Loss: -0.736 Avg. Critic Loss: 234.008 Avg. Q-Values: 9.719, Time: 11.446, Training Steps: 45, Eps: 0.998
05-Aug-19 02:10:56 - torcs_agent_torcsAgent_actor - INFO - Episode: 19, Total Reward: 145.477, Avg. Reward Last 100 Episodes: 291.789, Avg. Actor Loss: -0.625 Avg. Critic Loss: 260.026 Avg. Q-Values: 8.840, Time: 7.738, Training Steps: 32, Eps: 0.997
05-Aug-19 02:11:05 - torcs_agent_torcsAgent_actor - INFO - Episode: 20, Total Reward: 544.009, Avg. Reward Last 100 Episodes: 284.474, Avg. Actor Loss: -0.638 Avg. Critic Loss: 149.528 Avg. Q-Values: 10.002, Time: 8.949, Training Steps: 38, Eps: 0.997
05-Aug-19 02:11:13 - torcs_agent_torcsAgent_actor - INFO - Episode: 21, Total Reward: 134.912, Avg. Reward Last 100 Episodes: 296.833, Avg. Actor Loss: -0.638 Avg. Critic Loss: 100.152 Avg. Q-Values: 13.899, Time: 7.802, Training Steps: 27, Eps: 0.997
05-Aug-19 02:11:19 - torcs_agent_torcsAgent_actor - INFO - Episode: 22, Total Reward: -34.999, Avg. Reward Last 100 Episodes: 289.473, Avg. Actor Loss: -0.596 Avg. Critic Loss: 153.782 Avg. Q-Values: 14.093, Time: 5.915, Training Steps: 23, Eps: 0.997
05-Aug-19 02:11:28 - torcs_agent_torcsAgent_actor - INFO - Episode: 23, Total Reward: 627.916, Avg. Reward Last 100 Episodes: 275.365, Avg. Actor Loss: -0.541 Avg. Critic Loss: 133.497 Avg. Q-Values: 12.665, Time: 9.350, Training Steps: 40, Eps: 0.996
05-Aug-19 02:11:38 - torcs_agent_torcsAgent_actor - INFO - Episode: 24, Total Reward: 477.137, Avg. Reward Last 100 Episodes: 290.055, Avg. Actor Loss: -0.443 Avg. Critic Loss: 146.652 Avg. Q-Values: 12.106, Time: 9.818, Training Steps: 37, Eps: 0.996
05-Aug-19 02:11:46 - torcs_agent_torcsAgent_actor - INFO - Episode: 25, Total Reward: 582.038, Avg. Reward Last 100 Episodes: 297.538, Avg. Actor Loss: -0.424 Avg. Critic Loss: 193.250 Avg. Q-Values: 10.466, Time: 8.149, Training Steps: 34, Eps: 0.996
