09-Sep-22 16:10:12 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (25,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.00066666666, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 10000000, 'sample_size': 10000, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (25,), 'action_dim': (3,)}, 'training_episodes': 2000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'no', 'train_interval': 1, 'snapshot_interval': 50, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-09-16-10-06', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
09-Sep-22 16:10:12 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
09-Sep-22 16:10:20 - AutopilotAgent - INFO - Episode: 17, Total Reward: 4679.510, Avg. Reward Last 100 Episodes: 4697.663, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.439, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:21 - AutopilotAgent - INFO - Episode: 18, Total Reward: 12126.460, Avg. Reward Last 100 Episodes: 4696.655, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.493, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:21 - AutopilotAgent - INFO - Episode: 19, Total Reward: 4648.050, Avg. Reward Last 100 Episodes: 5087.697, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.443, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:22 - AutopilotAgent - INFO - Episode: 20, Total Reward: 6684.974, Avg. Reward Last 100 Episodes: 5065.715, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.428, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:22 - AutopilotAgent - INFO - Episode: 21, Total Reward: -2470.316, Avg. Reward Last 100 Episodes: 5142.822, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.434, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:23 - AutopilotAgent - INFO - Episode: 22, Total Reward: -3377.520, Avg. Reward Last 100 Episodes: 4796.771, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.455, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:23 - AutopilotAgent - INFO - Episode: 23, Total Reward: 1759.516, Avg. Reward Last 100 Episodes: 4441.367, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.516, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:24 - AutopilotAgent - INFO - Episode: 24, Total Reward: -4036.480, Avg. Reward Last 100 Episodes: 4329.623, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.464, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:24 - AutopilotAgent - INFO - Episode: 25, Total Reward: 1115.904, Avg. Reward Last 100 Episodes: 3994.979, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.442, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:25 - AutopilotAgent - INFO - Episode: 26, Total Reward: -19575.163, Avg. Reward Last 100 Episodes: 3884.245, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.452, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:25 - AutopilotAgent - INFO - Episode: 27, Total Reward: 10890.967, Avg. Reward Last 100 Episodes: 3015.378, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.481, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:25 - AutopilotAgent - INFO - Episode: 28, Total Reward: 10906.191, Avg. Reward Last 100 Episodes: 3296.649, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.437, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:26 - AutopilotAgent - INFO - Episode: 29, Total Reward: 9049.636, Avg. Reward Last 100 Episodes: 3559.047, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.429, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:26 - AutopilotAgent - INFO - Episode: 30, Total Reward: 115.917, Avg. Reward Last 100 Episodes: 3742.067, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.470, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:27 - AutopilotAgent - INFO - Episode: 31, Total Reward: -294.466, Avg. Reward Last 100 Episodes: 3625.094, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.466, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:27 - AutopilotAgent - INFO - Episode: 32, Total Reward: 6389.057, Avg. Reward Last 100 Episodes: 3502.608, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.489, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:28 - AutopilotAgent - INFO - Episode: 33, Total Reward: 8587.131, Avg. Reward Last 100 Episodes: 3590.076, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.491, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:28 - AutopilotAgent - INFO - Episode: 34, Total Reward: 3638.831, Avg. Reward Last 100 Episodes: 3737.048, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.456, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:29 - AutopilotAgent - INFO - Episode: 35, Total Reward: -7356.345, Avg. Reward Last 100 Episodes: 3734.242, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.446, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:29 - AutopilotAgent - INFO - Episode: 36, Total Reward: 4804.164, Avg. Reward Last 100 Episodes: 3426.170, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.433, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:30 - AutopilotAgent - INFO - Episode: 37, Total Reward: 5867.777, Avg. Reward Last 100 Episodes: 3463.413, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.431, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:30 - AutopilotAgent - INFO - Episode: 38, Total Reward: 9797.274, Avg. Reward Last 100 Episodes: 3526.686, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.499, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:31 - AutopilotAgent - INFO - Episode: 39, Total Reward: -18635.983, Avg. Reward Last 100 Episodes: 3687.470, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.477, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:31 - AutopilotAgent - INFO - Episode: 40, Total Reward: 653.120, Avg. Reward Last 100 Episodes: 3129.384, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.474, Training Steps: 0, Eps: 1.000
