30-Dec-22 19:55:06 - TurtlebotAgent - INFO - --- Start training ---
30-Dec-22 19:55:07 - TurtlebotAgent - INFO - Target network is updated after 0 steps
30-Dec-22 20:02:52 - TurtlebotAgent - INFO - Episode: 28, Total Reward: 105.627, Avg. Reward Last 100 Episodes: -18.231, Avg. Loss: 0.000, Time: 13.553, Training Steps: 0, Eps: 0.987
30-Dec-22 20:03:05 - TurtlebotAgent - INFO - Episode: 29, Total Reward: -61.777, Avg. Reward Last 100 Episodes: -13.960, Avg. Loss: 0.000, Time: 13.313, Training Steps: 0, Eps: 0.987
30-Dec-22 20:03:14 - TurtlebotAgent - INFO - Episode: 30, Total Reward: -25.441, Avg. Reward Last 100 Episodes: -15.554, Avg. Loss: 0.000, Time: 8.713, Training Steps: 0, Eps: 0.987
30-Dec-22 20:03:38 - TurtlebotAgent - INFO - Episode: 31, Total Reward: -160.185, Avg. Reward Last 100 Episodes: -15.873, Avg. Loss: 0.000, Time: 23.916, Training Steps: 0, Eps: 0.987
30-Dec-22 20:03:56 - TurtlebotAgent - INFO - Episode: 32, Total Reward: -167.012, Avg. Reward Last 100 Episodes: -20.383, Avg. Loss: 0.000, Time: 17.788, Training Steps: 0, Eps: 0.987
30-Dec-22 20:04:18 - TurtlebotAgent - INFO - Episode: 33, Total Reward: -275.169, Avg. Reward Last 100 Episodes: -24.826, Avg. Loss: 0.000, Time: 22.728, Training Steps: 0, Eps: 0.987
30-Dec-22 20:04:39 - TurtlebotAgent - INFO - Target network is updated after 2000 steps
30-Dec-22 20:04:51 - TurtlebotAgent - INFO - Episode: 34, Total Reward: 284.348, Avg. Reward Last 100 Episodes: -32.189, Avg. Loss: 0.000, Time: 32.584, Training Steps: 0, Eps: 0.987
30-Dec-22 20:05:21 - TurtlebotAgent - INFO - Episode: 35, Total Reward: 265.135, Avg. Reward Last 100 Episodes: -23.145, Avg. Loss: 0.000, Time: 30.447, Training Steps: 0, Eps: 0.986
30-Dec-22 20:05:36 - TurtlebotAgent - INFO - Episode: 36, Total Reward: -145.820, Avg. Reward Last 100 Episodes: -15.137, Avg. Loss: 0.000, Time: 14.818, Training Steps: 0, Eps: 0.986
30-Dec-22 20:05:42 - TurtlebotAgent - INFO - Episode: 37, Total Reward: -124.485, Avg. Reward Last 100 Episodes: -18.669, Avg. Loss: 0.000, Time: 5.788, Training Steps: 0, Eps: 0.986
30-Dec-22 20:05:57 - TurtlebotAgent - INFO - Episode: 38, Total Reward: 115.926, Avg. Reward Last 100 Episodes: -21.454, Avg. Loss: 0.000, Time: 15.457, Training Steps: 0, Eps: 0.986
30-Dec-22 20:06:32 - TurtlebotAgent - INFO - Episode: 39, Total Reward: 159.304, Avg. Reward Last 100 Episodes: -17.931, Avg. Loss: 0.000, Time: 34.225, Training Steps: 0, Eps: 0.986
30-Dec-22 20:07:12 - TurtlebotAgent - INFO - Episode: 40, Total Reward: -91.098, Avg. Reward Last 100 Episodes: -13.500, Avg. Loss: 0.000, Time: 40.284, Training Steps: 0, Eps: 0.986
30-Dec-22 20:07:23 - TurtlebotAgent - INFO - Episode: 41, Total Reward: 87.725, Avg. Reward Last 100 Episodes: -15.393, Avg. Loss: 0.000, Time: 11.445, Training Steps: 0, Eps: 0.986
30-Dec-22 20:07:32 - TurtlebotAgent - INFO - Episode: 42, Total Reward: -61.920, Avg. Reward Last 100 Episodes: -12.938, Avg. Loss: 0.000, Time: 8.145, Training Steps: 0, Eps: 0.986
30-Dec-22 20:08:01 - TurtlebotAgent - INFO - Episode: 43, Total Reward: 99.122, Avg. Reward Last 100 Episodes: -14.077, Avg. Loss: 0.000, Time: 29.608, Training Steps: 0, Eps: 0.986
30-Dec-22 20:08:26 - TurtlebotAgent - INFO - Episode: 44, Total Reward: -165.334, Avg. Reward Last 100 Episodes: -11.504, Avg. Loss: 0.000, Time: 24.729, Training Steps: 0, Eps: 0.986
30-Dec-22 20:08:40 - TurtlebotAgent - INFO - Episode: 45, Total Reward: 101.911, Avg. Reward Last 100 Episodes: -14.923, Avg. Loss: 0.000, Time: 14.401, Training Steps: 0, Eps: 0.985
30-Dec-22 20:08:55 - TurtlebotAgent - INFO - Episode: 46, Total Reward: -132.684, Avg. Reward Last 100 Episodes: -12.383, Avg. Loss: 0.000, Time: 14.454, Training Steps: 0, Eps: 0.985
30-Dec-22 20:09:07 - TurtlebotAgent - INFO - Episode: 47, Total Reward: -103.704, Avg. Reward Last 100 Episodes: -14.943, Avg. Loss: 0.000, Time: 12.768, Training Steps: 0, Eps: 0.985
30-Dec-22 20:09:15 - TurtlebotAgent - INFO - Episode: 48, Total Reward: -96.082, Avg. Reward Last 100 Episodes: -16.792, Avg. Loss: 0.000, Time: 7.477, Training Steps: 0, Eps: 0.985
