04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 02:58:13 - TorcsAgent - INFO - Episode: 18, Total Reward: 161.736, Avg. Reward Last 100 Episodes: 407.238, Avg. Actor Loss: -23.962 Avg. Critic Loss: 0.926 Avg. Q-Values: 9.270, Time: 8.592, Training Steps: 31, Eps: 0.997
04-Aug-19 02:58:19 - TorcsAgent - INFO - Episode: 19, Total Reward: 113.714, Avg. Reward Last 100 Episodes: 394.317, Avg. Actor Loss: -17.741 Avg. Critic Loss: 0.868 Avg. Q-Values: 9.560, Time: 5.715, Training Steps: 22, Eps: 0.997
04-Aug-19 02:58:26 - TorcsAgent - INFO - Episode: 20, Total Reward: 92.419, Avg. Reward Last 100 Episodes: 380.287, Avg. Actor Loss: -16.437 Avg. Critic Loss: 0.885 Avg. Q-Values: 9.406, Time: 6.729, Training Steps: 27, Eps: 0.997
04-Aug-19 02:58:34 - TorcsAgent - INFO - Episode: 21, Total Reward: 99.977, Avg. Reward Last 100 Episodes: 366.579, Avg. Actor Loss: -14.886 Avg. Critic Loss: 0.782 Avg. Q-Values: 9.567, Time: 8.399, Training Steps: 30, Eps: 0.997
04-Aug-19 02:58:40 - TorcsAgent - INFO - Episode: 22, Total Reward: -30.920, Avg. Reward Last 100 Episodes: 354.460, Avg. Actor Loss: -14.018 Avg. Critic Loss: 1.437 Avg. Q-Values: 8.808, Time: 6.533, Training Steps: 26, Eps: 0.997
04-Aug-19 02:58:47 - TorcsAgent - INFO - Episode: 23, Total Reward: 201.428, Avg. Reward Last 100 Episodes: 337.705, Avg. Actor Loss: -30.560 Avg. Critic Loss: 1.103 Avg. Q-Values: 9.976, Time: 6.532, Training Steps: 26, Eps: 0.996
04-Aug-19 02:58:56 - TorcsAgent - INFO - Episode: 24, Total Reward: 329.709, Avg. Reward Last 100 Episodes: 332.026, Avg. Actor Loss: -35.878 Avg. Critic Loss: 1.220 Avg. Q-Values: 9.027, Time: 9.425, Training Steps: 35, Eps: 0.996
04-Aug-19 02:59:07 - TorcsAgent - INFO - Episode: 25, Total Reward: 581.269, Avg. Reward Last 100 Episodes: 331.934, Avg. Actor Loss: -38.034 Avg. Critic Loss: 1.073 Avg. Q-Values: 10.011, Time: 10.342, Training Steps: 45, Eps: 0.996
04-Aug-19 02:59:16 - TorcsAgent - INFO - Episode: 26, Total Reward: 869.929, Avg. Reward Last 100 Episodes: 341.524, Avg. Actor Loss: -39.616 Avg. Critic Loss: 0.974 Avg. Q-Values: 11.848, Time: 9.350, Training Steps: 40, Eps: 0.995
04-Aug-19 02:59:25 - TorcsAgent - INFO - Episode: 27, Total Reward: 236.951, Avg. Reward Last 100 Episodes: 361.094, Avg. Actor Loss: -41.204 Avg. Critic Loss: 0.856 Avg. Q-Values: 14.659, Time: 8.785, Training Steps: 32, Eps: 0.995
