12-Sep-22 12:53:21 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (50,), 'action_dim': (3,), 'ctx': 'cpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0004, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (50,), 'action_dim': (3,)}, 'training_episodes': 3000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 5000, 'output_directory': 'model/AutopilotAgent/2022-09-12-12-53-18', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.005, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
12-Sep-22 12:53:21 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
12-Sep-22 12:53:36 - AutopilotAgent - INFO - Episode: 17, Total Reward: 9542.133, Avg. Reward Last 100 Episodes: -3122.037, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.734, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:36 - AutopilotAgent - INFO - Episode: 18, Total Reward: -35502.231, Avg. Reward Last 100 Episodes: -2418.472, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.610, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:37 - AutopilotAgent - INFO - Episode: 19, Total Reward: 9309.167, Avg. Reward Last 100 Episodes: -4159.722, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.622, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:38 - AutopilotAgent - INFO - Episode: 20, Total Reward: -5279.407, Avg. Reward Last 100 Episodes: -3486.278, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.650, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:38 - AutopilotAgent - INFO - Episode: 21, Total Reward: -26806.568, Avg. Reward Last 100 Episodes: -3571.665, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.694, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:39 - AutopilotAgent - INFO - Episode: 22, Total Reward: -14721.141, Avg. Reward Last 100 Episodes: -4627.797, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.631, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:40 - AutopilotAgent - INFO - Episode: 23, Total Reward: -22375.100, Avg. Reward Last 100 Episodes: -5066.638, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.702, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:40 - AutopilotAgent - INFO - Episode: 24, Total Reward: -23360.727, Avg. Reward Last 100 Episodes: -5787.824, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.654, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:41 - AutopilotAgent - INFO - Episode: 25, Total Reward: 11929.282, Avg. Reward Last 100 Episodes: -6490.740, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.697, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:42 - AutopilotAgent - INFO - Episode: 26, Total Reward: 1463.848, Avg. Reward Last 100 Episodes: -5782.278, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.695, Training Steps: 0, Eps: 1.000
