12-Sep-22 12:42:03 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (50,), 'action_dim': (3,), 'ctx': 'cpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0004, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (50,), 'action_dim': (3,)}, 'training_episodes': 3000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 5000, 'output_directory': 'model/AutopilotAgent/2022-09-12-12-42-00', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.005, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
12-Sep-22 12:42:03 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
12-Sep-22 12:42:17 - AutopilotAgent - INFO - Episode: 17, Total Reward: 11077.367, Avg. Reward Last 100 Episodes: -15469.055, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.758, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:18 - AutopilotAgent - INFO - Episode: 18, Total Reward: -10988.461, Avg. Reward Last 100 Episodes: -13994.254, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.732, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:18 - AutopilotAgent - INFO - Episode: 19, Total Reward: 9170.371, Avg. Reward Last 100 Episodes: -13836.054, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.691, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:19 - AutopilotAgent - INFO - Episode: 20, Total Reward: -5360.213, Avg. Reward Last 100 Episodes: -12685.733, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.721, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:20 - AutopilotAgent - INFO - Episode: 21, Total Reward: -7892.077, Avg. Reward Last 100 Episodes: -12336.899, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.683, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:20 - AutopilotAgent - INFO - Episode: 22, Total Reward: -22278.011, Avg. Reward Last 100 Episodes: -12134.861, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.694, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:21 - AutopilotAgent - INFO - Episode: 23, Total Reward: 16995.346, Avg. Reward Last 100 Episodes: -12575.868, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.708, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:22 - AutopilotAgent - INFO - Episode: 24, Total Reward: -14677.729, Avg. Reward Last 100 Episodes: -11343.734, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.714, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:22 - AutopilotAgent - INFO - Episode: 25, Total Reward: 3383.600, Avg. Reward Last 100 Episodes: -11477.094, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.633, Training Steps: 0, Eps: 1.000
12-Sep-22 12:42:23 - AutopilotAgent - INFO - Episode: 26, Total Reward: -1581.890, Avg. Reward Last 100 Episodes: -10905.528, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.743, Training Steps: 0, Eps: 1.000
