15-Jul-19 16:09:41 - PoleAgent - INFO - --- Start training ---
15-Jul-19 16:09:42 - PoleAgent - INFO - Target network is updated after 0 steps
15-Jul-19 16:10:17 - PoleAgent - INFO - Episode: 29, Total Reward: 13.000, Avg. Reward Last 100 Episodes: 19.276, Avg. Loss: 0.013, Time: 1.169, Training Steps: 13, Eps: 0.900
15-Jul-19 16:10:18 - PoleAgent - INFO - Episode: 30, Total Reward: 16.000, Avg. Reward Last 100 Episodes: 19.067, Avg. Loss: 0.015, Time: 1.205, Training Steps: 16, Eps: 0.895
15-Jul-19 16:10:20 - PoleAgent - INFO - Episode: 31, Total Reward: 16.000, Avg. Reward Last 100 Episodes: 18.968, Avg. Loss: 0.013, Time: 1.204, Training Steps: 16, Eps: 0.890
15-Jul-19 16:10:21 - PoleAgent - INFO - Episode: 32, Total Reward: 60.000, Avg. Reward Last 100 Episodes: 18.875, Avg. Loss: 0.012, Time: 1.758, Training Steps: 60, Eps: 0.885
15-Jul-19 16:10:23 - PoleAgent - INFO - Episode: 33, Total Reward: 16.000, Avg. Reward Last 100 Episodes: 20.121, Avg. Loss: 0.011, Time: 1.204, Training Steps: 16, Eps: 0.880
15-Jul-19 16:10:24 - PoleAgent - INFO - Episode: 34, Total Reward: 33.000, Avg. Reward Last 100 Episodes: 20.000, Avg. Loss: 0.010, Time: 1.415, Training Steps: 33, Eps: 0.875
15-Jul-19 16:10:25 - PoleAgent - INFO - Episode: 35, Total Reward: 16.000, Avg. Reward Last 100 Episodes: 20.371, Avg. Loss: 0.011, Time: 1.216, Training Steps: 16, Eps: 0.870
15-Jul-19 16:10:26 - PoleAgent - INFO - Episode: 36, Total Reward: 24.000, Avg. Reward Last 100 Episodes: 20.250, Avg. Loss: 0.010, Time: 1.338, Training Steps: 24, Eps: 0.865
15-Jul-19 16:10:28 - PoleAgent - INFO - Episode: 37, Total Reward: 19.000, Avg. Reward Last 100 Episodes: 20.351, Avg. Loss: 0.012, Time: 1.240, Training Steps: 19, Eps: 0.860
15-Jul-19 16:10:29 - PoleAgent - INFO - Episode: 38, Total Reward: 20.000, Avg. Reward Last 100 Episodes: 20.316, Avg. Loss: 0.009, Time: 1.256, Training Steps: 20, Eps: 0.855
15-Jul-19 16:10:30 - PoleAgent - INFO - Episode: 39, Total Reward: 18.000, Avg. Reward Last 100 Episodes: 20.308, Avg. Loss: 0.010, Time: 1.224, Training Steps: 18, Eps: 0.850
15-Jul-19 16:10:32 - PoleAgent - INFO - Episode: 40, Total Reward: 38.000, Avg. Reward Last 100 Episodes: 20.250, Avg. Loss: 0.010, Time: 1.485, Training Steps: 38, Eps: 0.845
15-Jul-19 16:10:33 - PoleAgent - INFO - Episode: 41, Total Reward: 34.000, Avg. Reward Last 100 Episodes: 20.683, Avg. Loss: 0.009, Time: 1.429, Training Steps: 34, Eps: 0.840
15-Jul-19 16:10:34 - PoleAgent - INFO - Episode: 42, Total Reward: 14.000, Avg. Reward Last 100 Episodes: 21.000, Avg. Loss: 0.009, Time: 1.186, Training Steps: 14, Eps: 0.835
15-Jul-19 16:10:36 - PoleAgent - INFO - Episode: 43, Total Reward: 21.000, Avg. Reward Last 100 Episodes: 20.837, Avg. Loss: 0.009, Time: 1.280, Training Steps: 21, Eps: 0.830
15-Jul-19 16:10:37 - PoleAgent - INFO - Episode: 44, Total Reward: 23.000, Avg. Reward Last 100 Episodes: 20.841, Avg. Loss: 0.010, Time: 1.298, Training Steps: 23, Eps: 0.825
15-Jul-19 16:10:38 - PoleAgent - INFO - Episode: 45, Total Reward: 42.000, Avg. Reward Last 100 Episodes: 20.889, Avg. Loss: 0.009, Time: 1.534, Training Steps: 42, Eps: 0.820
15-Jul-19 16:10:40 - PoleAgent - INFO - Episode: 46, Total Reward: 15.000, Avg. Reward Last 100 Episodes: 21.348, Avg. Loss: 0.009, Time: 1.190, Training Steps: 15, Eps: 0.815
15-Jul-19 16:10:41 - PoleAgent - INFO - Target network is updated after 1000 steps
15-Jul-19 16:10:41 - PoleAgent - INFO - Episode: 47, Total Reward: 24.000, Avg. Reward Last 100 Episodes: 21.213, Avg. Loss: 0.058, Time: 1.310, Training Steps: 24, Eps: 0.810
15-Jul-19 16:10:42 - PoleAgent - INFO - Episode: 48, Total Reward: 10.000, Avg. Reward Last 100 Episodes: 21.271, Avg. Loss: 0.033, Time: 1.130, Training Steps: 10, Eps: 0.805
15-Jul-19 16:10:43 - PoleAgent - INFO - Episode: 49, Total Reward: 10.000, Avg. Reward Last 100 Episodes: 21.041, Avg. Loss: 0.033, Time: 1.129, Training Steps: 10, Eps: 0.800
15-Jul-19 16:10:45 - PoleAgent - INFO - Episode: 50, Total Reward: 32.000, Avg. Reward Last 100 Episodes: 20.820, Avg. Loss: 0.031, Time: 1.405, Training Steps: 32, Eps: 0.795
15-Jul-19 16:10:46 - PoleAgent - INFO - Episode: 51, Total Reward: 12.000, Avg. Reward Last 100 Episodes: 21.039, Avg. Loss: 0.026, Time: 1.150, Training Steps: 12, Eps: 0.790
15-Jul-19 16:10:47 - PoleAgent - INFO - Episode: 52, Total Reward: 31.000, Avg. Reward Last 100 Episodes: 20.865, Avg. Loss: 0.036, Time: 1.387, Training Steps: 31, Eps: 0.785
15-Jul-19 16:10:48 - PoleAgent - INFO - Episode: 53, Total Reward: 19.000, Avg. Reward Last 100 Episodes: 21.057, Avg. Loss: 0.032, Time: 1.241, Training Steps: 19, Eps: 0.780
15-Jul-19 16:10:50 - PoleAgent - INFO - Episode: 54, Total Reward: 23.000, Avg. Reward Last 100 Episodes: 21.019, Avg. Loss: 0.030, Time: 1.294, Training Steps: 23, Eps: 0.775
15-Jul-19 16:10:51 - PoleAgent - INFO - Episode: 55, Total Reward: 10.000, Avg. Reward Last 100 Episodes: 21.055, Avg. Loss: 0.028, Time: 1.130, Training Steps: 10, Eps: 0.770
