14-Sep-22 16:56:58 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (80,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.999, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0001, 'epsilon_decay_start': 1000, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (80,), 'action_dim': (3,)}, 'training_episodes': 11000, 'start_training': 1000, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-14-16-56-53', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
14-Sep-22 16:56:58 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
14-Sep-22 16:58:55 - AutopilotAgent - INFO - Episode: 17, Total Reward: -105532.885, Avg. Reward Last 100 Episodes: -394105.520, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 8.288, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:01 - AutopilotAgent - INFO - Episode: 18, Total Reward: -1236567.558, Avg. Reward Last 100 Episodes: -378073.707, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 6.239, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:04 - AutopilotAgent - INFO - Episode: 19, Total Reward: -97376.059, Avg. Reward Last 100 Episodes: -423257.594, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 3.066, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:12 - AutopilotAgent - INFO - Episode: 20, Total Reward: -630194.753, Avg. Reward Last 100 Episodes: -406963.517, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 8.249, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:15 - AutopilotAgent - INFO - Episode: 21, Total Reward: -609150.873, Avg. Reward Last 100 Episodes: -417593.576, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 3.151, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:18 - AutopilotAgent - INFO - Episode: 22, Total Reward: -765591.798, Avg. Reward Last 100 Episodes: -426300.726, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 2.794, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:21 - AutopilotAgent - INFO - Episode: 23, Total Reward: -1503804.115, Avg. Reward Last 100 Episodes: -441052.512, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 2.899, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:31 - AutopilotAgent - INFO - Episode: 24, Total Reward: -98137.450, Avg. Reward Last 100 Episodes: -485333.828, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 10.282, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:34 - AutopilotAgent - INFO - Episode: 25, Total Reward: -462001.379, Avg. Reward Last 100 Episodes: -469845.973, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 2.847, Training Steps: 0, Eps: 1.000
14-Sep-22 16:59:42 - AutopilotAgent - INFO - Episode: 26, Total Reward: -1056461.217, Avg. Reward Last 100 Episodes: -469544.258, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 8.283, Training Steps: 0, Eps: 1.000
