26-Jul-19 15:59:58 - WalkerAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (24,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/WalkerAgent/2019-07-26-15-59-56', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (24,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (4,)}, 'strategy_params': {'epsilon_decay': 0.0025, 'action_dim': (4,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 1000}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'WalkerAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 2500, 'action_dim': (4,)}
26-Jul-19 15:59:58 - WalkerAgent - INFO - --- Start TwinDelayedDDPG training ---
26-Jul-19 16:00:21 - WalkerAgent - INFO - Episode: 18, Total Reward: -109.501, Avg. Reward Last 100 Episodes: -120.479, Avg. Actor Loss: 2.865 Avg. Critic Loss: 0.077 Avg. Q-Values: -3.199, Time: 0.239, Training Steps: 32, Eps: 1.000
26-Jul-19 16:00:21 - WalkerAgent - INFO - Episode: 19, Total Reward: -107.183, Avg. Reward Last 100 Episodes: -119.901, Avg. Actor Loss: 2.847 Avg. Critic Loss: 0.052 Avg. Q-Values: -3.194, Time: 0.250, Training Steps: 33, Eps: 1.000
26-Jul-19 16:00:22 - WalkerAgent - INFO - Episode: 20, Total Reward: -108.928, Avg. Reward Last 100 Episodes: -119.265, Avg. Actor Loss: 4.038 Avg. Critic Loss: 0.090 Avg. Q-Values: -4.079, Time: 0.248, Training Steps: 33, Eps: 1.000
26-Jul-19 16:00:22 - WalkerAgent - INFO - Episode: 21, Total Reward: -116.079, Avg. Reward Last 100 Episodes: -118.773, Avg. Actor Loss: 3.252 Avg. Critic Loss: 0.077 Avg. Q-Values: -3.723, Time: 0.602, Training Steps: 83, Eps: 1.000
26-Jul-19 16:00:23 - WalkerAgent - INFO - Episode: 22, Total Reward: -115.584, Avg. Reward Last 100 Episodes: -118.650, Avg. Actor Loss: 4.019 Avg. Critic Loss: 0.068 Avg. Q-Values: -4.049, Time: 1.149, Training Steps: 158, Eps: 1.000
26-Jul-19 16:00:25 - WalkerAgent - INFO - Episode: 23, Total Reward: -134.460, Avg. Reward Last 100 Episodes: -118.517, Avg. Actor Loss: 3.829 Avg. Critic Loss: 0.062 Avg. Q-Values: -4.171, Time: 1.957, Training Steps: 268, Eps: 1.000
26-Jul-19 16:00:27 - WalkerAgent - INFO - Episode: 24, Total Reward: -137.687, Avg. Reward Last 100 Episodes: -119.181, Avg. Actor Loss: 3.903 Avg. Critic Loss: 0.053 Avg. Q-Values: -4.310, Time: 1.872, Training Steps: 255, Eps: 1.000
26-Jul-19 16:00:28 - WalkerAgent - INFO - Episode: 25, Total Reward: -103.125, Avg. Reward Last 100 Episodes: -119.921, Avg. Actor Loss: 3.795 Avg. Critic Loss: 0.057 Avg. Q-Values: -4.466, Time: 0.559, Training Steps: 78, Eps: 1.000
26-Jul-19 16:00:28 - WalkerAgent - INFO - Episode: 26, Total Reward: -105.692, Avg. Reward Last 100 Episodes: -119.275, Avg. Actor Loss: 3.715 Avg. Critic Loss: 0.081 Avg. Q-Values: -4.592, Time: 0.549, Training Steps: 77, Eps: 1.000
26-Jul-19 16:00:29 - WalkerAgent - INFO - Episode: 27, Total Reward: -127.920, Avg. Reward Last 100 Episodes: -118.772, Avg. Actor Loss: 3.969 Avg. Critic Loss: 0.068 Avg. Q-Values: -4.535, Time: 0.690, Training Steps: 89, Eps: 1.000
26-Jul-19 16:00:29 - WalkerAgent - INFO - Episode: 28, Total Reward: -107.319, Avg. Reward Last 100 Episodes: -119.099, Avg. Actor Loss: 3.846 Avg. Critic Loss: 0.088 Avg. Q-Values: -4.434, Time: 0.601, Training Steps: 84, Eps: 1.000
26-Jul-19 16:00:30 - WalkerAgent - INFO - Episode: 29, Total Reward: -108.968, Avg. Reward Last 100 Episodes: -118.693, Avg. Actor Loss: 3.560 Avg. Critic Loss: 0.118 Avg. Q-Values: -4.215, Time: 0.380, Training Steps: 53, Eps: 1.000
26-Jul-19 16:00:30 - WalkerAgent - INFO - Episode: 30, Total Reward: -107.813, Avg. Reward Last 100 Episodes: -118.369, Avg. Actor Loss: 3.939 Avg. Critic Loss: 0.093 Avg. Q-Values: -4.301, Time: 0.367, Training Steps: 48, Eps: 1.000
26-Jul-19 16:00:31 - WalkerAgent - INFO - Episode: 31, Total Reward: -107.987, Avg. Reward Last 100 Episodes: -118.028, Avg. Actor Loss: 4.726 Avg. Critic Loss: 0.080 Avg. Q-Values: -4.819, Time: 0.344, Training Steps: 47, Eps: 1.000
26-Jul-19 16:00:31 - WalkerAgent - INFO - Episode: 32, Total Reward: -107.358, Avg. Reward Last 100 Episodes: -117.714, Avg. Actor Loss: 4.428 Avg. Critic Loss: 0.073 Avg. Q-Values: -4.691, Time: 0.622, Training Steps: 86, Eps: 1.000
26-Jul-19 16:00:32 - WalkerAgent - INFO - Episode: 33, Total Reward: -108.359, Avg. Reward Last 100 Episodes: -117.401, Avg. Actor Loss: 4.449 Avg. Critic Loss: 0.109 Avg. Q-Values: -4.747, Time: 0.355, Training Steps: 49, Eps: 1.000
26-Jul-19 16:00:32 - WalkerAgent - INFO - Episode: 34, Total Reward: -109.680, Avg. Reward Last 100 Episodes: -117.135, Avg. Actor Loss: 4.246 Avg. Critic Loss: 0.078 Avg. Q-Values: -4.836, Time: 0.440, Training Steps: 61, Eps: 1.000
26-Jul-19 16:00:32 - WalkerAgent - INFO - Episode: 35, Total Reward: -108.919, Avg. Reward Last 100 Episodes: -116.922, Avg. Actor Loss: 4.867 Avg. Critic Loss: 0.076 Avg. Q-Values: -5.044, Time: 0.365, Training Steps: 52, Eps: 1.000
26-Jul-19 16:00:33 - WalkerAgent - INFO - Episode: 36, Total Reward: -104.413, Avg. Reward Last 100 Episodes: -116.699, Avg. Actor Loss: 4.109 Avg. Critic Loss: 0.082 Avg. Q-Values: -5.009, Time: 0.613, Training Steps: 83, Eps: 1.000
26-Jul-19 16:00:33 - WalkerAgent - INFO - Episode: 37, Total Reward: -103.605, Avg. Reward Last 100 Episodes: -116.367, Avg. Actor Loss: 3.833 Avg. Critic Loss: 0.062 Avg. Q-Values: -4.821, Time: 0.492, Training Steps: 67, Eps: 1.000
26-Jul-19 16:00:34 - WalkerAgent - INFO - Episode: 38, Total Reward: -102.355, Avg. Reward Last 100 Episodes: -116.031, Avg. Actor Loss: 4.329 Avg. Critic Loss: 0.048 Avg. Q-Values: -4.873, Time: 0.544, Training Steps: 73, Eps: 1.000
26-Jul-19 16:00:34 - WalkerAgent - INFO - Episode: 39, Total Reward: -102.571, Avg. Reward Last 100 Episodes: -115.681, Avg. Actor Loss: 3.899 Avg. Critic Loss: 0.056 Avg. Q-Values: -5.182, Time: 0.448, Training Steps: 61, Eps: 1.000
26-Jul-19 16:00:35 - WalkerAgent - INFO - Episode: 40, Total Reward: -104.345, Avg. Reward Last 100 Episodes: -115.353, Avg. Actor Loss: 4.751 Avg. Critic Loss: 0.055 Avg. Q-Values: -5.394, Time: 0.567, Training Steps: 79, Eps: 1.000
26-Jul-19 16:00:35 - WalkerAgent - INFO - Episode: 41, Total Reward: -103.373, Avg. Reward Last 100 Episodes: -115.085, Avg. Actor Loss: 4.542 Avg. Critic Loss: 0.043 Avg. Q-Values: -5.539, Time: 0.393, Training Steps: 53, Eps: 1.000
26-Jul-19 16:00:36 - WalkerAgent - INFO - Episode: 42, Total Reward: -103.192, Avg. Reward Last 100 Episodes: -114.806, Avg. Actor Loss: 4.641 Avg. Critic Loss: 0.089 Avg. Q-Values: -5.490, Time: 0.387, Training Steps: 52, Eps: 1.000
26-Jul-19 16:00:36 - WalkerAgent - INFO - Episode: 43, Total Reward: -104.985, Avg. Reward Last 100 Episodes: -114.536, Avg. Actor Loss: 4.647 Avg. Critic Loss: 0.057 Avg. Q-Values: -5.330, Time: 0.421, Training Steps: 57, Eps: 1.000
26-Jul-19 16:00:37 - WalkerAgent - INFO - Episode: 44, Total Reward: -107.406, Avg. Reward Last 100 Episodes: -114.319, Avg. Actor Loss: 5.093 Avg. Critic Loss: 0.055 Avg. Q-Values: -5.971, Time: 0.446, Training Steps: 57, Eps: 1.000
26-Jul-19 16:00:37 - WalkerAgent - INFO - Episode: 45, Total Reward: -112.715, Avg. Reward Last 100 Episodes: -114.165, Avg. Actor Loss: 3.887 Avg. Critic Loss: 0.053 Avg. Q-Values: -5.521, Time: 0.717, Training Steps: 100, Eps: 1.000
26-Jul-19 16:00:38 - WalkerAgent - INFO - Episode: 46, Total Reward: -111.621, Avg. Reward Last 100 Episodes: -114.133, Avg. Actor Loss: 4.787 Avg. Critic Loss: 0.054 Avg. Q-Values: -5.663, Time: 0.403, Training Steps: 55, Eps: 1.000
