02-Aug-19 13:32:43 - CheetahAgent - INFO - Agent created with following parameters: {'actor_optimizer': 'adam', 'start_training': 1, 'strategy_params': {'epsilon_decay_start': 1000, 'action_low': -1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'noise_variance': 0.1, 'method': 'gaussian', 'action_high': 1, 'epsilon': 1, 'epsilon_decay': 0.005, 'action_dim': (6,)}, 'action_dim': (6,), 'target_score': None, 'train_interval': 1, 'critic_optimizer_params': {'learning_rate': 0.001}, 'snapshot_interval': 250, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (26,), 'sample_size': 100, 'method': 'buffer', 'action_dtype': 'float32', 'memory_size': 1000000, 'rewards_dtype': 'float32', 'action_dim': (6,)}, 'max_episode_step': 10000, 'discount_factor': 0.99, 'soft_target_update_rate': 0.005, 'training_episodes': 2500, 'output_directory': 'model/CheetahAgent/2019-08-02-13-32-39', 'ctx': 'gpu(0)', 'state_dim': (26,), 'actor_optimizer_params': {'learning_rate': 0.001}, 'verbose': True, 'agent_name': 'CheetahAgent', 'critic_optimizer': 'adam', 'evaluation_samples': 100}
02-Aug-19 13:32:43 - CheetahAgent - INFO - --- Start TwinDelayedDDPG training ---
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 18, Total Reward: -7.539, Avg. Reward Last 100 Episodes: 0.259, Avg. Actor Loss: -0.249 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.108, Time: 0.190, Training Steps: 26, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 19, Total Reward: 5.018, Avg. Reward Last 100 Episodes: -0.151, Avg. Actor Loss: -0.659 Avg. Critic Loss: 0.001 Avg. Q-Values: 0.111, Time: 0.102, Training Steps: 13, Eps: 1.000
02-Aug-19 13:32:45 - CheetahAgent - INFO - Episode: 20, Total Reward: 4.639, Avg. Reward Last 100 Episodes: 0.107, Avg. Actor Loss: -0.781 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.120, Time: 0.091, Training Steps: 12, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 21, Total Reward: 0.524, Avg. Reward Last 100 Episodes: 0.323, Avg. Actor Loss: -0.676 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.123, Time: 0.090, Training Steps: 12, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 22, Total Reward: 2.528, Avg. Reward Last 100 Episodes: 0.332, Avg. Actor Loss: -0.637 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.141, Time: 0.095, Training Steps: 12, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 23, Total Reward: 4.953, Avg. Reward Last 100 Episodes: 0.428, Avg. Actor Loss: -0.604 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.143, Time: 0.131, Training Steps: 17, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 24, Total Reward: -4.367, Avg. Reward Last 100 Episodes: 0.616, Avg. Actor Loss: -0.670 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.145, Time: 0.114, Training Steps: 14, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 25, Total Reward: -3.921, Avg. Reward Last 100 Episodes: 0.417, Avg. Actor Loss: -0.534 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.146, Time: 0.113, Training Steps: 13, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 26, Total Reward: 2.158, Avg. Reward Last 100 Episodes: 0.250, Avg. Actor Loss: -0.514 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.152, Time: 0.124, Training Steps: 17, Eps: 1.000
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 27, Total Reward: 5.225, Avg. Reward Last 100 Episodes: 0.321, Avg. Actor Loss: -0.451 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.164, Time: 0.153, Training Steps: 20, Eps: 1.000
